LFARG,LFFUNC,LFVAL
указ,OPER1,издавать
комиссия,EQUIP,состав
вопрос,INCEPFUNC0,возникать
основа,ADV2-UN,на
достаток,ADV1-UN,в
авторитет,MAGN,высокий
причина,MAGN,основной
регион,LOC,в
сила,OPER1,иметь
должность,CAUSOPER1,назначать
закон,S0_ANTIREAL3-M,нарушение
молчание,LABOR1-2,обходить
сила,INCEPOPER1,вступать
регион,LOC,в
закон,S0_ANTIREAL3-M,нарушение
пример,OPER1,приводить
возмездие,FUNC2,настигать
россия,LOC,в
денацификация,FUNC0,происходить
спор,INCEPFUNC0,возникать
исключение,ADV1-UN,за
паранойя,MAGN,чистый
роль,OPER1,сыграть
пост,OPER1,занимать
друг,MAGN,близкий
суд,LABOR1-2,привлекать
пост,CAUSOPER1,назначать
раздражение,MAGN,крайний
раздражение,CAUSFUNC0,вызывать
начало,LOC,в
фильм,CAUSFUNC0,снимать
переписка,OPER1,вести
гдр,LOC,в
интервью,OPER1,давать
город,LOC,в
год,LOC,в
саксония,LOC,в
книга,CAUSFUNC0,издавать
иск,OPER1,подавать
гостиная,LOC,в
фильм,CAUSFUNC0,снимать
интервью,OPER1,давать
комитет,SING,член
австрия,LOC,в
интернет,LOC,в
кабинет,LOC,в
карлсруэ,LOC,в
время,LOC,в
плен,ADV2-UN,в
область,LOC,в
город,LOC,в
россия,LOC,в
берлин,LOC,в
год,LOC,в
германия,LOC,в
название,ADV1-UN,под
встреча,CAUSFUNC0,устраивать
книга,CAUSFUNC0,издавать
период,LOC,в
франкфурт,LOC,в
решение,OPER1,принимать
успех,OPER1,иметь
церковь,REAL1,ходить
время,LOC,в
германия,LOC,в
россия,LOC,в
берлин,LOC,в
берлин,LOC,в
вопрос,OPER1,задавать
вопрос,OPER1,задавать
вопрос,OPER1,задавать
берлин,LOC,в
возраст,MAGN,зрелый
процесс,FUNC0,происходить
возраст,ADV1-UN,в
спор,MAGN,ожесточенный
власть,OPER1,обладать
россия,LOC,в
мир,LOC,в
надежда,FINOPER1,терять
германия,LOC,в
проблема,INCEPOPER1,сталкиваться
применение,OPER2,находить
россия,LOC,в
берлин,LOC,в
фабрика,LOC,на
берлин,LOC,в
другой,MAGN,совершенно
вид,ADV1-UN,в
внимание,OPER2,привлекать
сайт,LOC,на
заседание,LOC,на
вопрос,REAL3-M,отвечать
вопрос,OPER1,задавать
отделение,LOC,в
информация,INCEPFUNC0,появляться
печать,ADV2-UN,в
вопрос,REAL3-M,отвечать
отвечать,MAGN,подробно
право,OPER1,обладать
отношение,OPER1,иметь
статья,LOC,в
заявка,OPER1,подавать
решение,OPER1,принимать
преимущество,MAGN,большой
услуга,REAL2-M,прибегать
закупка,OPER1,осуществлять
борьба,FUNC0,идти
проблема,INCEPFUNC0,возникать
известный,MAGN,хорошо
возможность,CAUSFUNC0,создавать
состояние,ADV1-UN,в
воля,BON,добрый
процедура,OPER1,проводить
состояние,ADV1-UN,в
услуга,REAL2-M,пользоваться
комиссионные,OPER3,получать
польза,LABOR1-2,пойти
вопрос,S0_OPER1,постановка
вопрос,OPER1,ставить
вопрос,OPER1,ставить
проблема,INCEPFUNC0,возникать
событие,FUNC0,происходить
вопрос,CAUSFACT0-M,решать
увеличение,FUNC0,происходить
вопрос,CAUSFACT0-M,решать
вопрос,S0_OPER1,постановка
способность,OPER1,обладать
вопрос,INCEPFUNC0,возникать
вопрос,S0_CAUSFACT0-M,решение
состояние,ADV1-UN,в
край,LOC,с
заседание,LOC,на
вопрос,S0_REAL3-M,ответ
вопрос,S0_OPER1,поднятие
вопрос,INCEPFUNC0,возникать
пример,ADV1-UN,на
цель,ADV1-UN,в
дума,CAP,спикер
обвинять,ANTIVER,напрасно
обвинять,ANTIVER,напрасно
речь,FUNC0,идти
известный,MAGN,хорошо
описание,OPER1,давать
статья,LOC,в
сайт,LOC,на
сайт,LOC,на
дума,CAP,председатель
палитра,MAGN,широкий
отношение,MANIF,высказывать
внимание,OPER1,обращать
внимание,CAUSFUNC0,обращать
год,FINFUNC0,проходить
образец,LABOR1-2,приводить
совет,CAP,председатель
год,LOC,в
грань,S0_CAUSFUNC0,проведение
спор,CAUSFUNC0,вызывать
нежелание,VER,естественный
результат,ADV2-UN,в
время,LOC,в
издание,ADV2-UN,в
дума,LOC,в
обещать,BON,клятвенно
сомнение,LABOR1-2,подвергать
право,LIQUREAL1-M,лишать
пример,OPER1,приводить
заблуждение,MAGN,глубокий
шанс,OPER1,иметь
объем,MAGN,грандиозный
прозвище,INCEPOPER1,получать
соответствие,MAGN,полный
соответствие,ADV1-UN,в
статья,LOC,в
декабрь,LOC,в
гипотеза,ANTIVER,ложный
точность,OPER1,достигать
предел,LOC,в
пример,OPER2,служить
дискуссия,FINOPER1,прекращать
совет,OPER1,давать
право,OPER1,иметь
право,OPER1,иметь
интерес,OPER2,представлять
желать,VER,искренне
долг,REAL1-M,исполнять
характер,OPER1,иметь
условие,ADV1-UN,при
условие,ADV1-UN,при
база,ADV2-UN,на
этап,OPER1,проходить
опыт,INCEPOPER1,нарабатывать
момент,LOC,в
регистрация,OPER1,проходить
лозунг,ADV1-UN,под
конституция,CAUSFUNC0,принимать
будущее,BON,светлый
страна,LOC,в
время,LOC,в
поправка,CAUSFUNC0,принимать
закон,CAUSFUNC0,принимать
отличаться,MAGN,разительно
страна,LOC,в
закон,CAUSFUNC0,принимать
власть,S0_INCEPOPER1,приход
проблема,S0_CAUSFACT0-M,решение
решение,VER,правильный
проблема,S0_CAUSFACT0-M,решение
ход,OPER1,делать
задача,CAUSFACT0-M,решать
задача,CAUSFUNC0,ставить
путь,OPER1,проходить
идти,MAGN,быстро
идея,INCEPFUNC1,возникать
этап,LOC,на
решение,OPER1,принимать
право,OPER1,иметь
партия,SING,член
коллективизация,OPER1,устраивать
объем,OPER1,иметь
пост,LOC,на
степень,MAGN,высокий
ясность,CAUSFUNC0,вносить
потенциал,REAL1-M,реализовать
мера,MAGN,полный
потенциал,MAGN,огромный
причина,ADV2-UN,по
подчинение,ADV2-UN,в
возможность,MAGN,широкий
борьба,FUNC0,идти
расти,MAGN,бурно
евроремонт,OPER1,делать
показатель,FUNC3,равняться
урожай,ANTIMAGN,низкий
россия,LOC,в
европа,LOC,в
урожай,REAL1,собирать
проблема,FUNC2,заключаться
вопрос,S0_CAUSFACT0-M,решение
представление,REAL2-M,соответствовать
цель,MAGN,конечный
смысл,LIQUOPER1,лишать
право,INCEPOPER1,получать
право,REAL1-M,пользоваться
земля,SING,участок
год,LOC,в
основание,CAUSFUNC0,давать
земля,SING,участок
